Strategy,mean_net_btc_T1T10,median_net_btc_T1T10,best_T,best_T_net_btc,T1_net_btc,mean_return_pct,worst_max_dd,Trades_T1
BASE,1.0262619066403835e-05,-3.6525322002632925e-05,T7,0.0005662782864754107,-4.0835639977565975e-05,0.13100853465419443,-0.059607705923068896,456
E1,-0.0005286688996658961,-0.0005085113688424619,T1,-0.0003789130580988744,-0.0003789130580988744,-6.748778008258019,-0.16996415929313416,757
E2,0.0002445653712845984,0.00020577074882354931,T7,0.0006420600943524162,0.00012752953323082975,3.122024768905516,-0.03773147843401118,330
E3,-0.0007525254935896547,-0.0007404384269027904,T1,-0.00032056095887072165,-0.00032056095887072165,-9.606442718686372,-0.2521915403365947,1040
E4,-0.0005739669024084283,-0.0006120756809432557,T7,-0.00036453307528653807,-0.00036987320062711654,-7.327034389369163,-0.15346313180097162,637
E5,-0.0006570588366169293,-0.0006095434594961858,T3,-0.0002483444334744133,-0.0003104190345225834,-8.387753146618467,-0.23539071862448782,1096
