Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,variant,arm,phase
E2_T1,128,67,61,0,52.34,0.0004607448916631059,1.2763751038107735e-05,9.971680498521668e-08,0.00010183562240385712,6.876789427807551e-06,-7.34395312499997e-06,1.028491715120642,-0.01593683024107827,0.007846313751038107,0.1629369958461746,0.20836805555555554,0.10347222222222222,2.2866666666666666,67,61,0,52.34,47.66,,0,0,1.1288942856683772,0.11288942856683772,E2,T1,select
BASE_T1,186,92,94,0,49.46,0.0006465454258098057,-4.3786167940190485e-05,-2.3540950505478757e-07,-0.0002404115682466187,7.027667671845714e-06,-7.34395312499996e-06,0.9365722671008917,-0.025732714081030336,0.00778976383205981,-0.5589568961733793,0.2654510155316607,0.1363888888888889,5.335555555555556,92,94,0,49.46,50.54,,0,0,-2.3705650716600437,-0.23705650716600438,BASE,T1,select
E5_T1,605,298,307,0,49.26,0.0021987433624145658,-5.58502469604216e-05,-9.231445778582082e-08,-9.427598755182081e-05,7.3783334309213614e-06,-7.34395312499996e-06,0.9752282421416494,-0.05590226467414335,0.0077776997530395785,-0.7129621558606414,1.277744719926538,0.42388888888888887,30.51361111111111,298,307,0,49.26,50.74,,0,0,-2.8559934669668614,-0.28559934669668613,E5,T1,select
E3_T1,574,280,294,0,48.78,0.0020488747489731058,-0.0001102474697768826,-1.9206876267749582e-07,-0.00019614990667321525,7.317409817761092e-06,-7.343953124999959e-06,0.9489387544533215,-0.051430254083390324,0.007723302530223118,-1.4073755803803212,0.9937088656600852,0.3783333333333333,14.857777777777779,280,294,0,48.78,51.22,,0,0,-6.261064977494625,-0.6261064977494625,E3,T1,select
E1_T1,379,180,199,0,47.49,0.0012957504249071874,-0.0001656962469678043,-4.3719326376729363e-07,-0.0004464828985757858,7.198613471706597e-06,-7.343953124999959e-06,0.8866217631087276,-0.043849843032658174,0.007667853753032195,-2.1152127320027914,0.4874391673995896,0.20777777777777778,11.508055555555556,180,199,0,47.49,52.51,,0,0,-9.901794058210035,-0.9901794058210035,E1,T1,select
E4_T1,307,142,165,0,46.25,0.0010205089182689273,-0.00019124334735606504,-6.229424995311565e-07,-0.0006361789988254687,7.186682523020615e-06,-7.343953124999955e-06,0.8421761998873372,-0.038723139498726945,0.007642306652643935,-2.4413369079927305,0.42214078899746654,0.18944444444444444,6.805833333333333,142,165,0,46.25,53.75,,0,0,-11.608138269036246,-1.1608138269036246,E4,T1,select
