Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,variant,arm,phase
BASE_T1,456,229,227,0,50.22,0.001626241719397425,-4.0835639977565975e-05,-8.955184205606574e-08,-9.145467080040664e-05,7.101492224442904e-06,-7.343953124999961e-06,0.975504652049935,-0.025732714081030336,0.007792714360022434,-0.5212916235623144,0.23994456627680316,0.11763888888888888,5.335555555555556,229,227,0,50.22,49.78,,0,0,-2.000175314402891,-0.20001753144028908,BASE,T1,full
BASE_T1,186,92,94,0,49.46,0.0006465454258098057,-4.3786167940190485e-05,-2.3540950505478757e-07,-0.0002404115682466187,7.027667671845714e-06,-7.34395312499996e-06,0.9365722671008917,-0.025732714081030336,0.00778976383205981,-0.5589568961733793,0.2654510155316607,0.1363888888888889,5.335555555555556,92,94,0,49.46,50.54,,0,0,-2.3705650716600437,-0.23705650716600438,BASE,T1,select
BASE_T1,270,137,133,0,50.74,0.0009796962935876192,2.95052796262451e-06,1.092788134305374e-08,1.116008077365045e-05,7.15106783640598e-06,-7.34395312499996e-06,1.003020773743244,-0.019779700359758814,0.007836500527962625,0.03766527261106489,0.22237345679012346,0.10180555555555557,3.841388888888889,137,133,0,50.74,49.26,,0,0,0.3703897572571577,0.037038975725715774,BASE,T1,holdout
BASE_T2,456,227,229,0,49.78,0.002151951254281221,-9.040243321878252e-05,-1.9825095004118975e-07,-0.00020246345530819577,9.479961472604498e-06,-9.791937500000016e-06,0.9596841329167959,-0.040862470242009605,0.007743147566781217,-1.1540416952567245,0.5554258040935672,0.20569444444444446,12.6275,227,229,0,49.78,50.22,,0,0,-4.422963690362914,-0.4422963690362914,BASE,T2,full
BASE_T2,186,88,98,0,47.31,0.0008437523016666109,-0.0001158575733333911,-6.228901792117801e-07,-0.0006361255667857151,9.588094337120578e-06,-9.79193750000002e-06,0.8792659638549563,-0.040862470242009605,0.007717692426666609,-1.4789919427767861,0.7681481481481482,0.23819444444444443,12.6275,88,98,0,47.31,52.69,,0,0,-6.692379941994791,-0.669237994199479,BASE,T2,select
BASE_T2,270,139,131,0,51.48,0.0013081989526146102,2.5455140114608575e-05,9.42782967207725e-08,9.628155482076203e-05,9.411503256220217e-06,-9.791937500000011e-06,1.0198442899248898,-0.018067216074875395,0.007859005140114608,0.32495024752006163,0.40888374485596707,0.18194444444444444,6.7219444444444445,139,131,0,51.48,48.52,,0,0,2.269416251631874,0.22694162516318742,BASE,T2,holdout
BASE_T3,456,229,227,0,50.22,0.0015769709854331307,-9.010637394186018e-05,-1.9760169724092143e-07,-0.00020180040695819528,6.886336180930702e-06,-7.343953124999961e-06,0.9459494945239719,-0.030575958357421305,0.007743443626058139,-1.1502623196617212,0.2647867933723197,0.13597222222222222,5.335555555555556,229,227,0,50.22,49.78,,0,0,-5.579783088787782,-0.5579783088787782,BASE,T3,full
BASE_T3,186,92,94,0,49.46,0.0006338230361683549,-5.650855758164127e-05,-3.038094493636627e-07,-0.0003102648984061251,6.889380827916901e-06,-7.34395312499996e-06,0.9181428778673197,-0.030575958357421305,0.007777041442418359,-0.7213658887942342,0.299578853046595,0.1502777777777778,5.335555555555556,92,94,0,49.46,50.54,,0,0,-3.0902577752978355,-0.30902577752978355,BASE,T3,select
BASE_T3,270,137,133,0,50.74,0.0009431479492647758,-3.359781636021891e-05,-1.2443635688969968e-07,-0.00012708042396073271,6.884291600472816e-06,-7.34395312499996e-06,0.965602291258749,-0.02149051870772465,0.007799952183639781,-0.42889643086747586,0.2408189300411522,0.12444444444444444,3.841388888888889,137,133,0,50.74,49.26,,0,0,-2.4895253134899438,-0.24895253134899437,BASE,T3,holdout
BASE_T4,456,227,229,0,49.78,0.0021163584469415784,-0.00012599524055842523,-2.763053521018097e-07,-0.00028217638450185145,9.323164964500346e-06,-9.791937500000016e-06,0.9438111653568366,-0.03977019573544008,0.007707554759441575,-1.60840539166055,0.5811884746588694,0.2275,12.665,227,229,0,49.78,50.22,,0,0,-7.711799675285926,-0.7711799675285925,BASE,T4,full
