Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,arm,phase,entry
T1,330,176,154,0,53.33,0.001258498314480825,0.00012752953323082975,3.864531310025144e-07,0.0003946646217896318,7.150558605004688e-06,-7.343953124999969e-06,1.112761320511322,-0.01593683024107827,0.00796107953323083,1.627991564882203,0.16947643097643095,0.0906944444444444,2.286666666666666,176,154,0,53.33,46.67,,0,0,10.169883457469282,1.0169883457469282,T1,full,E2
T1,128,67,61,0,52.34,0.0004607448916631059,1.2763751038107735e-05,9.971680498521668e-08,0.00010183562240386786,6.876789427807551e-06,-7.34395312499997e-06,1.028491715120642,-0.01593683024107827,0.007846313751038107,0.1629369958461746,0.20836805555555554,0.1034722222222222,2.286666666666666,67,61,0,52.34,47.66,,0,0,1.1288942856683768,0.11288942856683767,T1,select,E2
T1,202,109,93,0,53.96,0.0007977534228177192,0.00011476578219272201,5.681474365976338e-07,0.0005802196313014025,7.318838741446965e-06,-7.34395312499997e-06,1.1680349326492945,-0.010557906904908052,0.007948315782192721,1.4650545690360284,0.14483223322332228,0.0859722222222222,0.9563888888888888,109,93,0,53.96,46.04,,0,0,9.040989171800907,0.9040989171800908,T1,holdout,E2
T2,330,180,150,0,54.55,0.0016969695907481526,0.00022817896574815072,6.914514113580325e-07,0.0007061436118827587,9.427608837489737e-06,-9.791937500000013e-06,1.1553515946142088,-0.023950317703954692,0.00806172896574815,2.912842399016413,0.4599469696969698,0.17388888888888884,12.6275,180,150,0,54.55,45.45,,0,0,19.54158330269225,1.954158330269225,T2,full,E2
T2,128,62,66,0,48.44,0.0005666901875662181,-7.957768743378248e-05,-6.217006830764256e-07,-0.000634910795822001,9.140164315584163e-06,-9.79193750000001e-06,0.8768657850527037,-0.023950317703954692,0.007753972312566217,-1.0158572733152016,0.6628233506944445,0.1925,12.6275,62,66,0,48.44,51.56,,0,0,-4.659033878831817,-0.4659033878831817,T2,select,E2
T2,202,118,84,0,58.42,0.0011302794031819345,0.0003077566531819332,1.5235477880293722e-06,0.001555920662309537,9.578639010016395e-06,-9.791937500000016e-06,1.3741618735553913,-0.008806080805931328,0.008141306653181933,3.9286996723316037,0.33139163916391634,0.1620833333333333,3.4702777777777776,118,84,0,58.42,41.58,,0,0,24.20061718152407,2.4200617181524073,T2,holdout,E2
T3,330,176,154,0,53.33,0.0012103527757112882,7.938399446129286e-05,2.4055755897361473e-07,0.0002456690098089593,6.877004407450501e-06,-7.343953124999969e-06,1.070191145659701,-0.018612915876964346,0.007912933994461293,1.013384665461925,0.1943089225589225,0.1125,3.551944444444445,176,154,0,53.33,46.67,,0,0,6.256258633354272,0.6256258633354272,T3,full,E2
T3,128,67,61,0,52.34,0.00048218053488454423,3.4199394259546074e-05,2.671827676527037e-07,0.00027285996019961017,7.196724401261854e-06,-7.34395312499997e-06,1.076341147334535,-0.018612915876964346,0.007867749394259545,0.4365759363193611,0.24760850694444442,0.1211111111111111,3.551944444444445,67,61,0,52.34,47.66,,0,0,2.550540913658475,0.2550540913658475,T3,select,E2
T3,202,109,93,0,53.96,0.000728172240826744,4.518460020174679e-05,2.2368613961260788e-07,0.00022843910065052715,6.680479273639853e-06,-7.34395312499997e-06,1.066157273593412,-0.0105893559736518,0.007878734600201746,0.5768087291425417,0.16053492849284928,0.1015277777777777,0.9563888888888888,109,93,0,53.96,46.04,,0,0,3.7057177196957944,0.37057177196957947,T3,holdout,E2
T4,330,180,150,0,54.55,0.00162048351294118,0.0001516928879411781,4.5967541800357e-07,0.0004694427614591697,9.002686183006555e-06,-9.791937500000013e-06,1.1032774075210194,-0.024823575041037726,0.007985242887941177,1.9364513910191006,0.4795294612794612,0.19527777777777777,12.665,180,150,0,54.55,45.45,,0,0,13.458673904382989,1.3458673904382987,T4,full,E2
T4,128,62,66,0,48.44,0.0005824397851454085,-6.382808985459212e-05,-4.98656951989001e-07,-0.0005092525886618562,9.394190082990459e-06,-9.79193750000001e-06,0.9012358615928541,-0.024823575041037726,0.007769721910145408,-0.8148041418589491,0.6861914062499999,0.2031944444444444,12.665,62,66,0,48.44,51.56,,0,0,-3.6910803235247407,-0.3691080323524741,T4,select,E2
T4,202,118,84,0,58.42,0.0010380437277957716,0.0002155209777957702,1.0669355336424268e-06,0.001089606151634869,8.796980744031963e-06,-9.791937500000016e-06,1.2620243364645778,-0.00805812710057696,0.00804907097779577,2.751255532878072,0.3485753575357536,0.18430555555555556,3.4702777777777776,118,84,0,58.42,41.58,,0,0,17.14975422790773,1.7149754227907732,T4,holdout,E2
T5,330,212,118,0,64.24,0.0019165354693989514,0.00018336253189894786,5.556440360574177e-07,0.0005674505541496826,9.040261648108261e-06,-1.4687906250000035e-05,1.1057958660279086,-0.021320176974252276,0.008016912531898948,2.3407335358675008,0.8104587542087542,0.32305555555555554,15.823055555555555,212,118,0,64.24,35.76,,0,0,15.065904667845883,1.5065904667845882,T5,full,E2
T5,128,77,51,0,60.16,0.0007283689277366734,-2.0714291013328065e-05,-1.618303985416255e-07,-0.00016526902723964306,9.459336723852901e-06,-1.4687906250000028e-05,0.9723471431546764,-0.021320176974252276,0.007812835708986672,-0.2644304435834077,1.2189474826388889,0.4073611111111111,15.823055555555555,77,51,0,60.16,39.84,,0,0,-1.3681113982398756,-0.13681113982398757,T5,select,E2
T5,202,135,67,0,66.83,0.001188166541662278,0.00020407682291227595,1.0102813015459205e-06,0.0010317481106736112,8.8012336419428e-06,-1.4687906250000031e-05,1.2073762371702204,-0.00894388908421281,0.008037626822912276,2.6051639794508974,0.5516144114411441,0.2849999999999999,7.164722222222222,135,67,0,66.83,33.17,,0,0,16.434016066085764,1.6434016066085764,T5,holdout,E2
T6,330,176,154,0,53.33,0.0025132090293015627,0.00025127146680155885,7.61428687277451e-07,0.0007776077893444995,1.4279596757395242e-05,-1.4687906250000028e-05,1.1110868270492138,-0.025910804680284696,0.008084821466801558,3.2076321310460454,1.318512626262626,0.49888888888888894,36.35361111111112,176,154,0,53.33,46.67,,0,0,20.45710733453686,2.045710733453686,T6,full,E2
T6,128,65,63,0,50.78,0.0009297014364614894,4.363342711487836e-06,3.408861493349872e-08,3.481294170178291e-05,1.4303099022484452e-05,-1.4687906250000025e-05,1.0047154037437334,-0.025910804680284696,0.007837913342711488,0.05570070672284988,1.9781749131944446,0.5458333333333334,36.35361111111112,65,63,0,50.78,49.22,,0,0,0.32218819265223075,0.032218819265223075,T6,select,E2
T6,202,111,91,0,54.95,0.0015835075928400735,0.00024690812409007107,1.2223174459904509e-06,0.0012482896729992903,1.4265834169730393e-05,-1.4687906250000028e-05,1.1847285816453161,-0.01088481744813964,0.00808045812409007,3.1519314243231955,0.900508800880088,0.46652777777777776,10.533333333333331,111,91,0,54.95,45.05,,0,0,20.13491914188464,2.013491914188464,T6,holdout,E2
T7,330,179,151,0,54.24,0.00359922521935242,0.000642060094352416,1.9456366495527757e-06,0.0019869782150394475,2.0107403460069386e-05,-1.9583875000000026e-05,1.2171201360804684,-0.030841074284770863,0.008475610094352416,8.196285137037695,2.4391186868686865,0.915,37.3125,179,151,0,54.24,45.76,,0,0,49.65508064501549,4.965508064501549,T7,full,E2
T7,128,68,60,0,53.12,0.0013087276539770923,0.00013369515397709065,1.0444933904460207e-06,0.0010666871499598806,1.924599491142783e-05,-1.958387500000003e-05,1.113779962662386,-0.030841074284770863,0.007967245153977091,1.7066994399357993,3.576006944444445,1.1444444444444444,37.3125,68,60,0,53.12,46.88,,0,0,8.580398781105401,0.8580398781105402,T7,select,E2
T7,202,111,91,0,54.95,0.002290497565375329,0.0005083649403753255,2.5166581206699286e-06,0.0025701329493472923,2.063511320157954e-05,-1.9583875000000023e-05,1.2852565141583254,-0.02759219198044917,0.008341914940375325,6.489585697101896,1.7187142464246425,0.7779166666666666,24.560277777777777,111,91,0,54.95,45.05,,0,0,41.07468186391009,4.107468186391008,T7,holdout,E2
T8,330,173,157,0,52.42,0.0012015904829822948,7.055630691905153e-05,2.138069906637925e-07,0.00021835003610245687,6.945609728221357e-06,-7.204039337982442e-06,1.0623821175454085,-0.021595562272406534,0.007904106306919052,0.9006938989225999,0.23436700336700333,0.13124999999999995,5.822222222222222,176,154,0,53.33,46.67,,0,0,6.078012407445193,0.6078012407445194,T8,full,E2
