Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,arm,phase,entry
T1,330,176,154,0,53.33,0.001258498314480825,0.00012752953323082975,3.864531310025144e-07,0.0003946646217896318,7.150558605004688e-06,-7.343953124999969e-06,1.112761320511322,-0.01593683024107827,0.00796107953323083,1.627991564882203,0.16947643097643095,0.0906944444444444,2.286666666666666,176,154,0,53.33,46.67,,0,0,10.169883457469282,1.0169883457469282,T1,full,E2
T2,330,180,150,0,54.55,0.0016969695907481526,0.00022817896574815072,6.914514113580325e-07,0.0007061436118827587,9.427608837489737e-06,-9.791937500000013e-06,1.1553515946142088,-0.023950317703954692,0.00806172896574815,2.912842399016413,0.4599469696969698,0.17388888888888884,12.6275,180,150,0,54.55,45.45,,0,0,19.54158330269225,1.954158330269225,T2,full,E2
T3,330,176,154,0,53.33,0.0012103527757112882,7.938399446129286e-05,2.4055755897361473e-07,0.0002456690098089593,6.877004407450501e-06,-7.343953124999969e-06,1.070191145659701,-0.018612915876964346,0.007912933994461293,1.013384665461925,0.1943089225589225,0.1125,3.551944444444445,176,154,0,53.33,46.67,,0,0,6.256258633354272,0.6256258633354272,T3,full,E2
T4,330,180,150,0,54.55,0.00162048351294118,0.0001516928879411781,4.5967541800357e-07,0.0004694427614591697,9.002686183006555e-06,-9.791937500000013e-06,1.1032774075210194,-0.024823575041037726,0.007985242887941177,1.9364513910191006,0.4795294612794612,0.19527777777777777,12.665,180,150,0,54.55,45.45,,0,0,13.458673904382989,1.3458673904382987,T4,full,E2
T5,330,212,118,0,64.24,0.0019165354693989514,0.00018336253189894786,5.556440360574177e-07,0.0005674505541496826,9.040261648108261e-06,-1.4687906250000035e-05,1.1057958660279086,-0.021320176974252276,0.008016912531898948,2.3407335358675008,0.8104587542087542,0.32305555555555554,15.823055555555555,212,118,0,64.24,35.76,,0,0,15.065904667845883,1.5065904667845882,T5,full,E2
T6,330,176,154,0,53.33,0.0025132090293015627,0.00025127146680155885,7.61428687277451e-07,0.0007776077893444995,1.4279596757395242e-05,-1.4687906250000028e-05,1.1110868270492138,-0.025910804680284696,0.008084821466801558,3.2076321310460454,1.318512626262626,0.49888888888888894,36.35361111111112,176,154,0,53.33,46.67,,0,0,20.45710733453686,2.045710733453686,T6,full,E2
T7,330,179,151,0,54.24,0.00359922521935242,0.000642060094352416,1.9456366495527757e-06,0.0019869782150394475,2.0107403460069386e-05,-1.9583875000000026e-05,1.2171201360804684,-0.030841074284770863,0.008475610094352416,8.196285137037695,2.4391186868686865,0.915,37.3125,179,151,0,54.24,45.76,,0,0,49.65508064501549,4.965508064501549,T7,full,E2
T8,330,173,157,0,52.42,0.0012015904829822948,7.055630691905153e-05,2.138069906637925e-07,0.00021835003610245687,6.945609728221357e-06,-7.204039337982442e-06,1.0623821175454085,-0.021595562272406534,0.007904106306919052,0.9006938989225999,0.23436700336700333,0.13124999999999995,5.822222222222222,176,154,0,53.33,46.67,,0,0,6.078012407445193,0.6078012407445194,T8,full,E2
T9,330,176,154,0,53.33,0.002551055925767747,0.0002891183632677432,8.761162523264945e-07,0.0008947322757385795,1.44946359418622e-05,-1.4687906250000028e-05,1.1278188965340825,-0.024169344923496802,0.008122668363267744,3.6907706374216476,1.2962845117845117,0.48375,36.35361111111112,176,154,0,53.33,46.67,,0,0,23.488748430670555,2.348874843067055,T9,full,E2
T10,330,203,127,0,61.52,0.002909651693224818,0.00042249956822481476,1.280301721893378e-06,0.0013075060190012207,1.4333259572536049e-05,-1.9583875000000023e-05,1.1698728292403162,-0.03773147843401118,0.008256049568224814,5.393462328380028,1.9841969696969697,0.6461111111111111,37.3125,203,127,0,61.52,38.48,,0,0,34.15910048618124,3.4159100486181235,T10,full,E2
