Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,arm,phase,kind,n_switches,top_selected_T,top_selected_T_share
T7,128,68,60,0,53.12,0.0013087276539770923,0.00013369515397709065,1.0444933904460207e-06,0.0010666871499598806,1.924599491142783e-05,-1.958387500000003e-05,1.113779962662386,-0.030841074284770863,0.007967245153977091,1.7066994399357993,3.576006944444445,1.1444444444444444,37.3125,68,60,0,53.12,46.88,,0,0,8.580398781105401,0.8580398781105402,T7,select,fixed,,,
B,128,68,60,0,53.12,0.0010125163995625074,4.3114587062506674e-05,3.368327114258334e-07,0.0003439898502475508,1.4889947052389814e-05,-1.6156696875000013e-05,1.0444754553855413,-0.030310764853830326,0.007876664587062506,0.5503837603960671,2.6451627604166665,0.7145833333333333,37.3125,68,60,0,53.12,46.88,,0,0,2.756749355205109,0.27567493552051087,B,select,selector,33.0,T7,0.578125
D,128,67,61,0,52.34,0.001024017263360048,3.013560711004787e-05,2.35434430547249e-07,0.00024043702336463534,1.528383975164251e-05,-1.6293141905737708e-05,1.0303211221582982,-0.03096137818743199,0.007863685607110048,0.3846992373834235,2.750199652777778,0.7730555555555556,37.3125,67,61,0,52.34,47.66,,0,0,1.9472292136471978,0.19472292136471978,D,select,selector,21.0,T7,0.5859375
C,128,67,61,0,52.34,0.0009360733868397576,2.0527230589757658e-05,1.603689889824817e-07,0.00016377656514094925,1.3971244579697875e-05,-1.500895338114754e-05,1.0224207490246429,-0.032837358707776286,0.007854077230589758,0.26204250422552366,2.4422504340277778,0.5901388888888889,36.35361111111112,67,61,0,52.34,47.66,,0,0,1.3397382093690862,0.13397382093690863,C,select,selector,41.0,T7,0.40625
F,128,66,62,0,51.56,0.0005127799039457363,1.3391091445738095e-05,1.0461790191982887e-07,0.00010684085955393131,7.769392484026307e-06,-8.054658266129003e-06,1.0268149608292199,-0.019480970221698382,0.007846941091445738,0.17094537528627995,0.4177039930555555,0.1372222222222222,7.3975,66,62,0,51.56,48.44,,0,0,1.2539909752815408,0.12539909752815406,F,select,selector,8.0,T8,0.4453125
E,128,67,61,0,52.34,0.0004607448916631059,1.2763751038107735e-05,9.971680498521668e-08,0.00010183562240386791,6.876789427807551e-06,-7.34395312499997e-06,1.028491715120642,-0.01593683024107827,0.007846313751038107,0.1629369958461746,0.20836805555555554,0.1034722222222222,2.286666666666666,67,61,0,52.34,47.66,,0,0,1.1288942856683777,0.11288942856683777,E,select,selector,1.0,T1,1.0
A,128,66,62,0,51.56,0.000968222972720856,-6.482643352914491e-05,-5.064565119464446e-07,-0.0005172178763870158,1.4670045041225092e-05,-1.666208719758066e-05,0.9372474993577832,-0.0427409657357422,0.0077687235664708545,-0.8275486022192413,2.55998046875,0.7475,37.3125,66,62,0,51.56,48.44,,0,0,-3.751344759204523,-0.3751344759204523,A,select,selector,15.0,T7,0.5078125
